File,Species,Time
SwiftOne_20250205_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250205_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250206_173000(-0300).BirdNET.selection.table.txt,Spot-winged Wood-Quail,Unknown
SwiftOne_20250206_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250207_060000(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250208_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250208_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250208_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250208_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250209_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250209_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250210_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250210_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250210_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250210_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250210_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250210_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250210_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250211_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250212_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250213_164500(-0300).BirdNET.selection.table.txt,Spot-winged Wood-Quail,Unknown
SwiftOne_20250215_083001(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250215_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250216_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250216_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250218_073001(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250218_074501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250220_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250220_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250220_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250220_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250220_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250221_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250221_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250221_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250221_191501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250222_074501(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250226_063001(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250226_064501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250226_173000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250226_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250226_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250227_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250227_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250227_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250227_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
